drugbank_id	mesh_id
DB00178	D006973
DB00178	D009203
DB00178	D006333
DB00178	D020521
DB00178	D002318
DB00178	D007674
DB00178	D003920
DB00179	D055623
DB00180	D001249
DB00181	D009103
DB00181	D001986
DB00181	D010146
DB00181	D013035
DB00181	D020521
DB00181	D002547
DB00181	D010300
DB00182	D001289
DB00182	D002493
DB00182	D009290
DB00182	D001523
DB00182	D012893
DB00182	D009765
DB00182	D059350
DB00185	D014987
DB00185	D013577
DB00186	D001008
DB00186	D009497
DB00186	D007319
DB00186	D000647
DB00186	D013226
DB00186	D000430
DB00186	D013035
DB00186	D007319
DB00186	D003693
DB00186	D009325
DB00186	D002389
DB00187	D001281
DB00187	D001282
DB00187	D013616
DB00188	D009101
DB00188	D020522
DB00189	D007319
DB00190	D010300
DB00190	D010301
DB00190	D020734
DB00190	D009325
DB00191	D009765
DB00191	D006973
DB00191	D006949
DB00191	D050177
DB00192	D001145
DB00193	D010146
DB00194	D002644
DB00194	D006562
DB00194	D006561
DB00195	D006973
DB00196	D009181
DB00196	D002180
DB00196	D016919
DB00196	D014552
DB00196	D014552
DB00196	D010532,D010538
DB00196	D007249
DB00196	D009181
DB00197	D003924
DB00198	C531629
DB00198	D007251
DB00199	D012141
DB00199	D012141
DB00199	D008088
DB00199	D014917
DB00199	D014917
DB00199	D014917
DB00199	D012141
DB00199	D007877
DB00199	D004165
DB00199	D012213
DB00199	D012874
DB00199	D013207
DB00199	D004894
DB00199	D003141
DB00199	D004404
DB00199	D004749
DB00199	D013587
DB00199	D013587
DB00199	D003877
DB00199	D002690
DB00199	D003231
DB00199	D011014
DB00199	D007239
DB00199	D007239
DB00199	D014526
DB00200	D000752
DB00200	D014806
DB00200	D002446
DB00200	D006980
DB00200	D001660
DB00200	D010190
DB00200	D007674
DB00200	D011041
DB00201	D001997
DB00201	D012131
DB00203	D007172
DB00203	D006976
DB00203	C536282,D000081029
DB00203	D010661
DB00203	D003240
DB00204	D001281
DB00204	D001282
DB00204	D001281
DB00204	D001282
DB00205	D014123
DB00205	D008288,C531736
DB00205	D008288
DB00206	D006973
DB00207	D029424
DB00207	D010612
DB00207	D014069
DB00207	D013207
DB00207	D014526
DB00207	D002575
DB00207	D002602
DB00208	D020521
DB00209	D053201
DB00209	D053202
DB00210	D000152
DB00211	D007024
DB00211	C537860
DB00212	D006973
DB00212	D006333
DB00213	D005764
DB00213	D005764
DB00213	D015043
DB00213	D012734
DB00213	D006356
DB00214	D004487
DB00214	D006333
DB00214	D007674
DB00214	D051437
DB00214	D006973
DB00215	D020018
DB00215	D009771
DB00215	D009771
DB00215	D003929
DB00216	D008881
DB00216	D004827
DB00217	D006973
DB00218	D008174
DB00218	D012852
DB00218	D011014
DB00218	D003234
DB00221	D001249
DB00221	D012135
DB00222	D003924
DB00222	D007003
DB00223	D011536
DB00223	D012871
DB00224	D015658
DB00225	D002526
DB00226	D006973
DB00227	D009203
DB00227	D000789
DB00227	D002318
DB00227	D050171
DB00227	D050197
DB00227	D006937
DB00227	D003324
DB00227	D003327
DB00227	D006938
DB00227	D002318
DB00227	D002318
DB00227	D003920
DB00227	D050197
DB00227	D003327
DB00227	D003324
DB00227	D020521
DB00227	D002546
DB00227	D002546
DB00227	D002340
DB00227	D058729
DB00227	D007383
DB00227	D017544
DB00227	D007676
DB00230	D009437
DB00230	D003929
DB00230	D051474
DB00230	D005356
DB00230	D013119
DB00231	D007319
DB00232	D006973
DB00232	D004487
DB00232	D006333
DB00232	D005355
DB00233	D014376
DB00235	D006333
DB00236	D011087
DB00236	D015464
DB00237	D007319
DB00238	D015658
DB00239	D009181
DB00240	D012871
DB00241	D018781
DB00242	D007943
DB00242	D007943
DB00242	D000740
DB00242	D009503
DB00242	D013921
DB00242	D015451
DB00242	D015451
DB00242	D008228
DB00243	D060050
DB00243	D001145
DB00243	D054058
DB00243	D007172
DB00243	D001145
DB00244	C536315
DB00245	D020734
DB00245	D001480
DB00245	D001480
