drugbank_id	category	entrez_gene_id	source	target	edges
DB02091	target	1017	Compound::DB02091	Gene::1017	DRUGBANK::target::Compound:Gene
DB02091	target	890	Compound::DB02091	Gene::890	DRUGBANK::target::Compound:Gene
DB02093	target	2821	Compound::DB02093	Gene::2821	DRUGBANK::target::Compound:Gene
DB02094	target	12932283	Compound::DB02094	Gene::12932283	DRUGBANK::target::Compound:Gene
DB02094	target	948669	Compound::DB02094	Gene::948669	DRUGBANK::target::Compound:Gene
DB02095	target	4129	Compound::DB02095	Gene::4129	DRUGBANK::target::Compound:Gene
DB02095	enzyme	4129	Compound::DB02095	Gene::4129	DRUGBANK::enzyme::Compound:Gene
DB02096	target	100	Compound::DB02096	Gene::100	DRUGBANK::target::Compound:Gene
DB02097	target	7371	Compound::DB02097	Gene::7371	DRUGBANK::target::Compound:Gene
DB02098	target	6035	Compound::DB02098	Gene::6035	DRUGBANK::target::Compound:Gene
DB02098	target	6037	Compound::DB02098	Gene::6037	DRUGBANK::target::Compound:Gene
DB02098	target	6036	Compound::DB02098	Gene::6036	DRUGBANK::target::Compound:Gene
DB02101	target	231	Compound::DB02101	Gene::231	DRUGBANK::target::Compound:Gene
DB02102	target	155348	Compound::DB02102	Gene::155348	DRUGBANK::target::Compound:Gene
DB02103	target	7184	Compound::DB02103	Gene::7184	DRUGBANK::target::Compound:Gene
DB02104	target	1719	Compound::DB02104	Gene::1719	DRUGBANK::target::Compound:Gene
DB02105	target	1312	Compound::DB02105	Gene::1312	DRUGBANK::target::Compound:Gene
DB02106	target	7068	Compound::DB02106	Gene::7068	DRUGBANK::target::Compound:Gene
DB02107	target	404203	Compound::DB02107	Gene::404203	DRUGBANK::target::Compound:Gene
DB02108	target	1508	Compound::DB02108	Gene::1508	DRUGBANK::target::Compound:Gene
DB02109	target	122622	Compound::DB02109	Gene::122622	DRUGBANK::target::Compound:Gene
DB02109	target	12933702	Compound::DB02109	Gene::12933702	DRUGBANK::target::Compound:Gene
DB02109	target	948695	Compound::DB02109	Gene::948695	DRUGBANK::target::Compound:Gene
DB02110	target	5742	Compound::DB02110	Gene::5742	DRUGBANK::target::Compound:Gene
DB02110	target	54205	Compound::DB02110	Gene::54205	DRUGBANK::target::Compound:Gene
DB02112	target	5644	Compound::DB02112	Gene::5644	DRUGBANK::target::Compound:Gene
DB02113	target	12934012	Compound::DB02113	Gene::12934012	DRUGBANK::target::Compound:Gene
DB02113	target	945654	Compound::DB02113	Gene::945654	DRUGBANK::target::Compound:Gene
DB02114	target	1990	Compound::DB02114	Gene::1990	DRUGBANK::target::Compound:Gene
DB02115	transporter	9429	Compound::DB02115	Gene::9429	DRUGBANK::transporter::Compound:Gene
DB02115	target	217	Compound::DB02115	Gene::217	DRUGBANK::target::Compound:Gene
DB02116	target	5594	Compound::DB02116	Gene::5594	DRUGBANK::target::Compound:Gene
DB02116	target	1017	Compound::DB02116	Gene::1017	DRUGBANK::target::Compound:Gene
DB02116	target	1020	Compound::DB02116	Gene::1020	DRUGBANK::target::Compound:Gene
DB02116	target	983	Compound::DB02116	Gene::983	DRUGBANK::target::Compound:Gene
