drugbank_id	category	entrez_gene_id	source	target	edges
DB01962	target	3055	Compound::DB01962	Gene::3055	DRUGBANK::target::Compound:Gene
DB01964	target	760	Compound::DB01964	Gene::760	DRUGBANK::target::Compound:Gene
DB01965	target	887290	Compound::DB01965	Gene::887290	DRUGBANK::target::Compound:Gene
DB01965	target	12934430	Compound::DB01965	Gene::12934430	DRUGBANK::target::Compound:Gene
DB01965	target	948607	Compound::DB01965	Gene::948607	DRUGBANK::target::Compound:Gene
DB01966	target	5660	Compound::DB01966	Gene::5660	DRUGBANK::target::Compound:Gene
DB01967	target	1025370	Compound::DB01967	Gene::1025370	DRUGBANK::target::Compound:Gene
DB01967	target	1078885	Compound::DB01967	Gene::1078885	DRUGBANK::target::Compound:Gene
DB01967	target	12932714	Compound::DB01967	Gene::12932714	DRUGBANK::target::Compound:Gene
DB01967	target	946869	Compound::DB01967	Gene::946869	DRUGBANK::target::Compound:Gene
DB01969	target	1431	Compound::DB01969	Gene::1431	DRUGBANK::target::Compound:Gene
DB01970	target	5140	Compound::DB01970	Gene::5140	DRUGBANK::target::Compound:Gene
DB01971	target	1042837	Compound::DB01971	Gene::1042837	DRUGBANK::target::Compound:Gene
DB01972	target	1253539	Compound::DB01972	Gene::1253539	DRUGBANK::target::Compound:Gene
DB01972	target	471	Compound::DB01972	Gene::471	DRUGBANK::target::Compound:Gene
DB01972	target	7053	Compound::DB01972	Gene::7053	DRUGBANK::target::Compound:Gene
DB01972	target	3094	Compound::DB01972	Gene::3094	DRUGBANK::target::Compound:Gene
DB01972	target	8654	Compound::DB01972	Gene::8654	DRUGBANK::target::Compound:Gene
DB01972	target	1742	Compound::DB01972	Gene::1742	DRUGBANK::target::Compound:Gene
DB01972	target	2987	Compound::DB01972	Gene::2987	DRUGBANK::target::Compound:Gene
DB01972	target	943650	Compound::DB01972	Gene::943650	DRUGBANK::target::Compound:Gene
DB01972	target	1494172	Compound::DB01972	Gene::1494172	DRUGBANK::target::Compound:Gene
DB01972	target	2766	Compound::DB01972	Gene::2766	DRUGBANK::target::Compound:Gene
DB01972	target	936046	Compound::DB01972	Gene::936046	DRUGBANK::target::Compound:Gene
DB01972	target	12931995	Compound::DB01972	Gene::12931995	DRUGBANK::target::Compound:Gene
DB01972	target	944817	Compound::DB01972	Gene::944817	DRUGBANK::target::Compound:Gene
DB01972	target	12932081	Compound::DB01972	Gene::12932081	DRUGBANK::target::Compound:Gene
DB01972	target	946794	Compound::DB01972	Gene::946794	DRUGBANK::target::Compound:Gene
DB01973	target	5645	Compound::DB01973	Gene::5645	DRUGBANK::target::Compound:Gene
DB01975	target	1026699	Compound::DB01975	Gene::1026699	DRUGBANK::target::Compound:Gene
DB01975	target	1080971	Compound::DB01975	Gene::1080971	DRUGBANK::target::Compound:Gene
DB01977	target	5328	Compound::DB01977	Gene::5328	DRUGBANK::target::Compound:Gene
DB01978	target	3707551	Compound::DB01978	Gene::3707551	DRUGBANK::target::Compound:Gene
DB01979	target	4153	Compound::DB01979	Gene::4153	DRUGBANK::target::Compound:Gene
DB01983	target	383	Compound::DB01983	Gene::383	DRUGBANK::target::Compound:Gene
DB01986	target	1258585	Compound::DB01986	Gene::1258585	DRUGBANK::target::Compound:Gene
DB01987	target	1062065	Compound::DB01987	Gene::1062065	DRUGBANK::target::Compound:Gene
DB01987	target	12932309	Compound::DB01987	Gene::12932309	DRUGBANK::target::Compound:Gene
DB01987	target	944834	Compound::DB01987	Gene::944834	DRUGBANK::target::Compound:Gene
DB01987	target	12931960	Compound::DB01987	Gene::12931960	DRUGBANK::target::Compound:Gene
DB01987	target	947420	Compound::DB01987	Gene::947420	DRUGBANK::target::Compound:Gene
DB01988	target	1432	Compound::DB01988	Gene::1432	DRUGBANK::target::Compound:Gene
DB01989	target	7093	Compound::DB01989	Gene::7093	DRUGBANK::target::Compound:Gene
DB01990	target	6095	Compound::DB01990	Gene::6095	DRUGBANK::target::Compound:Gene
DB01991	target	1193363	Compound::DB01991	Gene::1193363	DRUGBANK::target::Compound:Gene
DB01992	target	3156	Compound::DB01992	Gene::3156	DRUGBANK::target::Compound:Gene
DB01992	target	1384	Compound::DB01992	Gene::1384	DRUGBANK::target::Compound:Gene
DB01992	target	886648	Compound::DB01992	Gene::886648	DRUGBANK::target::Compound:Gene
DB01992	enzyme	886648	Compound::DB01992	Gene::886648	DRUGBANK::enzyme::Compound:Gene
DB01992	target	12932037	Compound::DB01992	Gene::12932037	DRUGBANK::target::Compound:Gene
DB01992	target	946003	Compound::DB01992	Gene::946003	DRUGBANK::target::Compound:Gene
DB01992	target	12934389	Compound::DB01992	Gene::12934389	DRUGBANK::target::Compound:Gene
DB01992	target	948479	Compound::DB01992	Gene::948479	DRUGBANK::target::Compound:Gene
DB01992	target	12934190	Compound::DB01992	Gene::12934190	DRUGBANK::target::Compound:Gene
DB01992	target	945674	Compound::DB01992	Gene::945674	DRUGBANK::target::Compound:Gene
DB01992	target	39	Compound::DB01992	Gene::39	DRUGBANK::target::Compound:Gene
DB01992	target	1431	Compound::DB01992	Gene::1431	DRUGBANK::target::Compound:Gene
DB01992	target	1255801	Compound::DB01992	Gene::1255801	DRUGBANK::target::Compound:Gene
DB01992	target	1622	Compound::DB01992	Gene::1622	DRUGBANK::target::Compound:Gene
DB01992	target	1025581	Compound::DB01992	Gene::1025581	DRUGBANK::target::Compound:Gene
DB01992	target	1078850	Compound::DB01992	Gene::1078850	DRUGBANK::target::Compound:Gene
DB01992	target	12932590	Compound::DB01992	Gene::12932590	DRUGBANK::target::Compound:Gene
DB01992	target	948997	Compound::DB01992	Gene::948997	DRUGBANK::target::Compound:Gene
DB01992	target	12931841	Compound::DB01992	Gene::12931841	DRUGBANK::target::Compound:Gene
DB01992	target	945514	Compound::DB01992	Gene::945514	DRUGBANK::target::Compound:Gene
DB01992	target	885713	Compound::DB01992	Gene::885713	DRUGBANK::target::Compound:Gene
DB01992	target	1026203	Compound::DB01992	Gene::1026203	DRUGBANK::target::Compound:Gene
DB01992	target	1080302	Compound::DB01992	Gene::1080302	DRUGBANK::target::Compound:Gene
DB01992	target	938194	Compound::DB01992	Gene::938194	DRUGBANK::target::Compound:Gene
DB01992	target	937204	Compound::DB01992	Gene::937204	DRUGBANK::target::Compound:Gene
